// Start Time: Unknown
// Update Rate: Various
// Filter Profile: Error: No XDA filter profile
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.3.7
PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;VelInc_X;VelInc_Y;VelInc_Z;OriInc_q0;OriInc_q1;OriInc_q2;OriInc_q3;Roll;Pitch;Yaw;Latitude;Longitude;Altitude;Vel_X;Vel_Y;Vel_Z
00229;1222859;-0.078141;0.048375;9.788778;;;;;;;;;;;;;0.000000;;;
00230;1222884;-0.050543;0.045494;9.724073;;;;;;;;;;;;;0.000000;;;
00231;1222909;-0.058616;0.048829;9.784475;;;;;;;;;;;;;0.000000;;;
00232;1222934;-0.080573;0.013784;9.752468;;;;;;;;;;;;;0.000000;;;
00233;1222959;-0.038066;0.028536;9.774780;;;;;;;;;;;;;0.000000;;;
00234;1222984;-0.052649;0.036682;9.748702;;;;;;;;;;;;;0.000000;;;
00235;1223009;-0.039163;0.013265;9.752987;;;;;;;;;;;;;0.000000;;;
00236;1223034;-0.035447;0.049088;9.774901;;;;;;;;;;;;;0.000000;;;
00237;1223059;-0.052289;0.067313;9.782207;;;;;;;;;;;;;0.000000;;;
00238;1223084;-0.048863;0.062132;9.752557;;;;;;;;;;;;;0.000000;;;
00239;1223109;-0.040031;0.031103;9.773777;;;;;;;;;;;;;0.000000;;;
00240;1223134;-0.051824;0.050687;9.783964;;;;;;;;;;;;;0.000000;;;
00241;1223159;-0.043017;0.048882;9.765294;;;;;;;;;;;;;0.000000;;;
00242;1223184;-0.055727;0.062551;9.765985;;;;;;;;;;;;;0.000000;;;
00243;1223209;-0.051287;0.062440;9.766471;;;;;;;;;;;;;0.000000;;;
00244;1223234;-0.055775;0.054563;9.790609;;;;;;;;;;;;;0.000000;;;
00245;1223259;-0.032622;0.000945;9.777695;;;;;;;;;;;;;0.000000;;;
00246;1223284;-0.045749;0.047233;9.765310;;;;;;;;;;;;;0.000000;;;
00247;1223309;-0.044529;0.018821;9.767297;;;;;;;;;;;;;0.000000;;;
00248;1223334;-0.074413;0.054554;9.785310;;;;;;;;;;;;;0.000000;;;
00249;1223359;-0.096632;0.046411;9.785912;;;;;;;;;;;;;0.000000;;;
00250;1223384;-0.064270;0.040895;9.740463;;;;;;;;;;;;;0.000000;;;
00251;1223409;-0.027729;0.025696;9.744137;;;;;;;;;;;;;0.000000;;;
00252;1223434;-0.058882;0.041838;9.781250;;;;;;;;;;;;;0.000000;;;
00253;1223459;-0.057138;0.034015;9.748748;;;;;;;;;;;;;0.000000;;;
00254;1223484;-0.058850;0.017242;9.760104;;;;;;;;;;;;;0.000000;;;
00255;1223509;-0.048920;0.026842;9.791129;;;;;;;;;;;;;0.000000;;;
00256;1223534;-0.063770;0.022299;9.777270;;;;;;;;;;;;;0.000000;;;
00257;1223559;-0.062501;0.036095;9.789987;;;;;;;;;;;;;0.000000;;;
00258;1223584;-0.073129;0.014268;9.752936;;;;;;;;;;;;;0.000000;;;
00259;1223609;-0.078551;0.025184;9.762807;;;;;;;;;;;;;0.000000;;;
00260;1223634;-0.061105;0.024063;9.791173;;;;;;;;;;;;;0.000000;;;
00261;1223659;-0.066992;0.027345;9.772861;;;;;;;;;;;;;0.000000;;;
00262;1223684;-0.069186;0.020320;9.728359;;;;;;;;;;;;;0.000000;;;
00263;1223709;-0.069781;0.028818;9.796826;;;;;;;;;;;;;0.000000;;;
00264;1223734;-0.035066;0.024460;9.750395;;;;;;;;;;;;;0.000000;;;
00265;1223759;-0.006707;0.032462;9.767067;;;;;;;;;;;;;0.000000;;;
00266;1223784;-0.040948;0.044337;9.765858;;;;;;;;;;;;;0.000000;;;
00267;1223809;-0.048329;0.062214;9.764561;;;;;;;;;;;;;0.000000;;;
00268;1223834;-0.044782;0.040038;9.732816;;;;;;;;;;;;;0.000000;;;
00269;1223859;-0.040524;0.048249;9.754745;;;;;;;;;;;;;0.000000;;;
00270;1223884;-0.011833;0.056633;9.741175;;;;;;;;;;;;;0.000000;;;
00271;1223909;-0.055286;0.071141;9.778780;;;;;;;;;;;;;0.000000;;;
00272;1223934;-0.080155;0.079251;9.763251;;;;;;;;;;;;;0.000000;;;
00273;1223959;-0.063068;0.068977;9.778816;;;;;;;;;;;;;0.000000;;;
00274;1223984;-0.056557;0.033745;9.773229;;;;;;;;;;;;;0.000000;;;
00275;1224009;-0.061173;0.066991;9.793729;;;;;;;;;;;;;0.000000;;;
00276;1224034;-0.068440;0.053242;9.757020;;;;;;;;;;;;;0.000000;;;
00277;1224059;-0.070623;0.032506;9.775177;;;;;;;;;;;;;0.000000;;;
00278;1224084;-0.049388;0.025783;9.791147;;;;;;;;;;;;;0.000000;;;
00279;1224109;-0.062381;0.043747;9.761522;;;;;;;;;;;;;0.000000;;;
00280;1224134;-0.031873;0.035286;9.770834;;;;;;;;;;;;;0.000000;;;
00281;1224159;-0.027799;0.036235;9.743464;;;;;;;;;;;;;0.000000;;;
00282;1224184;-0.046209;0.034004;9.771807;;;;;;;;;;;;;0.000000;;;
00283;1224209;-0.048657;0.048836;9.740814;;;;;;;;;;;;;0.000000;;;
00284;1224234;-0.036720;0.024472;9.774393;;;;;;;;;;;;;0.000000;;;
00285;1224259;-0.048180;0.018866;9.753841;;;;;;;;;;;;;0.000000;;;
00286;1224284;-0.061167;0.050669;9.776272;;;;;;;;;;;;;0.000000;;;
00287;1224309;-0.044962;0.035502;9.760263;;;;;;;;;;;;;0.000000;;;
00288;1224334;-0.021003;0.001260;9.781547;;;;;;;;;;;;;0.000000;;;
00289;1224359;-0.053590;-0.008735;9.763458;;;;;;;;;;;;;0.000000;;;
00290;1224384;-0.069040;0.055235;9.766108;;;;;;;;;;;;;0.000000;;;
00291;1224409;-0.034397;0.030157;9.764688;;;;;;;;;;;;;0.000000;;;
00292;1224434;-0.043620;0.003580;9.743559;;;;;;;;;;;;;0.000000;;;
00293;1224459;-0.032304;0.004528;9.756999;;;;;;;;;;;;;0.000000;;;
00294;1224484;-0.045070;0.020285;9.747579;;;;;;;;;;;;;0.000000;;;
00295;1224509;-0.049966;0.022796;9.751850;;;;;;;;;;;;;0.000000;;;
00296;1224534;-0.038824;0.028589;9.776711;;;;;;;;;;;;;0.000000;;;
00297;1224559;-0.071492;0.034927;9.780388;;;;;;;;;;;;;0.000000;;;
00298;1224584;-0.061097;0.024189;9.747009;;;;;;;;;;;;;0.000000;;;
00299;1224609;-0.017008;0.015230;9.726590;;;;;;;;;;;;;0.000000;;;
00300;1224634;-0.044168;0.052173;9.720589;;;;;;;;;;;;;0.000000;;;
00301;1224659;-0.057266;0.057927;9.755514;;;;;;;;;;;;;0.000000;;;
00302;1224684;-0.026327;0.032806;9.736328;;;;;;;;;;;;;0.000000;;;
00303;1224709;-0.051530;0.042082;9.767336;;;;;;;;;;;;;0.000000;;;
00304;1224734;-0.021476;0.015973;9.741926;;;;;;;;;;;;;0.000000;;;
00305;1224759;-0.041185;0.049545;9.788797;;;;;;;;;;;;;0.000000;;;
